,price,filing_k,filing_q,news
2020-03-13,11.237374305725098,None,None,"['The global recloser control market is expected to grow significantly, driven by increasing demand for power quality and reliability, especially in the electric segment and emerging economies like China. The positive score for this news is 1.1491235518690246e-08. The neutral score for this news is 0.9999998807907104. The negative score for this news is 6.358970239261907e-08.']"
2020-03-16,9.891204833984375,None,None,[]
2020-03-17,9.47625732421875,None,None,[]
2020-03-18,9.55345630645752,None,None,[]
2020-03-19,9.728120803833008,None,None,[]
2020-03-20,9.47625732421875,None,None,[]
2020-03-23,9.428009033203125,None,None,"['The global individual quick freezing (IQF) market is expected to grow significantly, driven by rising consumer demand and technological advancements, with spiral freezers leading the segment growth. The positive score for this news is 8.219546820953383e-09. The neutral score for this news is 1.0. The negative score for this news is 4.250775020864239e-08.']"
2020-03-24,10.421951293945312,None,None,[]
2020-03-25,10.686363220214844,None,None,[]
2020-03-26,11.157279968261719,None,None,[]
2020-03-27,10.846549987792969,None,None,[]
2020-03-30,10.798301696777344,None,None,[]
2020-03-31,10.672852516174316,None,None,[]
2020-04-01,10.151755332946777,None,None,[]
2020-04-02,10.239568710327148,None,None,[]
2020-04-03,10.103504180908203,None,None,[]
2020-04-06,11.015425682067871,None,None,[]
2020-04-07,11.17464828491211,None,None,[]
2020-04-08,11.348348617553711,None,None,[]
2020-04-09,11.51722240447998,None,None,[]
2020-04-13,11.462220191955566,None,None,[]
2020-04-14,11.898396492004395,None,None,"['The global acrylic fibers market is expected to grow steadily, driven by rising demand in apparel and household furnishings, particularly in staple acrylic fibers. The positive score for this news is 2.8204789614960646e-08. The neutral score for this news is 0.9999997615814209. The negative score for this news is 2.435992314531177e-07.']"
2020-04-15,11.468008995056152,None,None,[]
2020-04-16,11.525908470153809,None,None,[]
2020-04-17,11.84628677368164,None,None,[]
2020-04-20,11.631092071533203,None,None,[]
2020-04-21,11.145700454711914,None,None,[]
2020-04-22,11.52204704284668,None,None,[]
2020-04-23,11.531696319580078,None,None,[]
2020-04-24,11.716012001037598,None,None,[]
2020-04-27,12.043144226074219,None,None,[]
2020-04-28,12.011300086975098,None,None,[]
2020-04-29,12.47739315032959,None,None,[]
2020-04-30,12.248689651489258,None,None,[]
2020-05-01,11.717941284179688,None,None,[]
2020-05-04,11.790316581726074,None,None,[]
2020-05-05,11.879096984863281,None,None,[]
2020-05-06,11.879096984863281,None,None,[]
2020-05-07,11.994895935058594,None,None,[]
2020-05-08,12.356767654418945,None,None,[]
2020-05-11,12.438794136047363,None,None,[]
2020-05-12,12.119379997253418,None,None,[]
2020-05-13,11.79224681854248,None,None,[]
2020-05-14,11.933135986328125,None,None,[]
2020-05-15,11.95629596710205,None,None,[]
2020-05-18,12.561347007751465,None,None,[]
2020-05-19,12.519852638244629,None,None,[]
2020-05-20,12.815141677856445,None,None,"['Global music recording industry expected to reach \\$93.1 billion by 2025, with China and the US as key growth drivers. The positive score for this news is 2.770955909170425e-08. The neutral score for this news is 0.9999970197677612. The negative score for this news is 3.0048081498534884e-06.']"
2020-05-21,12.65591812133789,None,None,"['The global water treatment chemicals market is expected to grow significantly, driven by the coagulants & flocculants segment, with China and the United States being key players. The positive score for this news is 6.473933211736949e-08. The neutral score for this news is 0.9999977350234985. The negative score for this news is 2.1209334590821527e-06.']"
2020-05-22,12.62503719329834,None,None,[]
2020-05-26,12.967611312866211,None,None,"['Global e-commerce payment market is expected to grow significantly, driven by factors like rising e-commerce sales, increasing smartphone penetration, and the development of secure payment gateways. The positive score for this news is 1.5165307232223313e-08. The neutral score for this news is 0.9999998807907104. The negative score for this news is 8.342669843841577e-08.']"
2020-05-27,13.239740371704102,None,None,"['Global online music streaming market expected to reach \\$65.4 billion by 2025, with significant growth in China and the United States. The positive score for this news is 1.0204145972636525e-08. The neutral score for this news is 0.9999990463256836. The negative score for this news is 9.475521665081033e-07.']"
2020-05-28,12.959892272949219,None,None,[]
2020-05-29,13.041915893554688,None,None,[]
2020-06-01,13.288955688476562,None,None,[]
2020-06-02,13.423089027404785,None,None,[]
2020-06-03,13.790752410888672,None,None,[]
2020-06-04,13.831282615661621,None,None,[]
2020-06-05,14.297374725341797,None,None,[]
2020-06-08,14.581085205078125,None,None,[]
2020-06-09,14.374573707580566,None,None,[]
2020-06-10,14.436335563659668,None,None,[]
2020-06-11,13.287991523742676,None,None,[]
2020-06-12,13.625738143920898,None,None,"['Despite the COVID-19 pandemic and economic recession, the global home improvement products market is expected to grow significantly, driven by a rise in DIY projects and evolving consumer trends. The positive score for this news is 2.0716458948299987e-07. The neutral score for this news is 0.9999991655349731. The negative score for this news is 5.549063644139096e-07.']"
2020-06-15,13.7125883102417,None,None,[]
2020-06-16,13.905587196350098,None,None,[]
2020-06-17,13.906551361083984,None,None,[]
2020-06-18,13.904621124267578,None,None,[]
2020-06-19,13.845755577087402,None,None,[]
2020-06-22,13.927781105041504,None,None,[]
2020-06-23,14.095691680908203,None,None,[]
2020-06-24,13.7125883102417,None,None,[]
2020-06-25,13.832246780395508,None,None,[]
2020-06-26,13.540817260742188,None,None,[]
2020-06-29,13.86815357208252,None,None,"['Despite the pandemic and economic challenges, the global industrial protective footwear market is expected to grow significantly, driven by a CAGR of 6.6% and reaching a market size of US$2.3 billion by 2027. The positive score for this news is 6.324120960243818e-08. The neutral score for this news is 0.9999995231628418. The negative score for this news is 3.799600278853177e-07.']"
2020-06-30,14.090896606445312,None,None,[]
2020-07-01,13.994050979614258,None,None,[]
2020-07-02,14.2962064743042,None,None,[]
2020-07-06,14.914074897766113,None,None,[]
2020-07-07,14.691332817077637,None,None,[]
2020-07-08,14.769777297973633,None,None,[]
2020-07-09,14.742659568786621,None,None,[]
2020-07-10,14.991551399230957,None,None,[]
2020-07-13,14.914074897766113,None,None,[]
2020-07-14,15.130041122436523,None,None,[]
2020-07-15,15.417668342590332,None,None,[]
2020-07-16,15.194923400878906,None,None,[]
2020-07-17,15.286927223205566,None,None,[]
2020-07-20,15.545503616333008,None,None,[]
2020-07-21,15.43703556060791,None,None,[]
2020-07-22,15.54356575012207,None,None,[]
2020-07-23,15.330507278442383,None,None,"['Despite the impact of COVID-19, the global hyperbaric oxygen therapy devices market is expected to reach \\$287.1 million by 2027, growing at a CAGR of 6%. The positive score for this news is 4.7620025725336745e-05. The neutral score for this news is 0.9912910461425781. The negative score for this news is 0.008661354891955853.']"
2020-07-24,15.069026947021484,None,None,[]
2020-07-27,15.354718208312988,None,None,[]
2020-07-28,15.15618896484375,None,None,[]
2020-07-29,15.320822715759277,None,None,[]
2020-07-30,15.235600471496582,None,None,"['The global pulse flours market is expected to double in size by 2027, reaching \\$26.9 billion with a 10.8% CAGR. The positive score for this news is 1.7266201268739678e-07. The neutral score for this news is 0.9999428987503052. The negative score for this news is 5.702769703930244e-05.']"
2020-07-31,14.991551399230957,None,None,[]
2020-08-03,15.3886137008667,None,None,[]
2020-08-04,15.591989517211914,None,None,[]
2020-08-05,15.737252235412598,None,None,[]
2020-08-06,15.811826705932617,None,None,[]
2020-08-07,15.688833236694336,None,None,[]
2020-08-10,16.00164031982422,None,None,[]
2020-08-11,16.003578186035156,None,None,[]
2020-08-12,16.318323135375977,None,None,"['Despite the COVID-19 pandemic, the global cenospheres market is expected to experience significant growth, reaching \\$870.3 million by 2027, driven by increasing demand across various industries. The positive score for this news is 2.682873656567608e-08. The neutral score for this news is 0.9999998807907104. The negative score for this news is 1.0400656691444965e-07.']"
2020-08-13,16.076210021972656,None,None,[]
2020-08-14,16.08589744567871,None,None,[]
2020-08-17,16.245689392089844,None,None,[]
2020-08-18,16.192424774169922,None,None,"['Despite pandemic disruptions, the global uranium market is projected to reach 92.3 thousand tons by 2027, with a CAGR of 2%, driven by recovery and growth in key regions including the U.S. and China. The positive score for this news is 1.9785309390840666e-08. The neutral score for this news is 0.9999990463256836. The negative score for this news is 9.074137778952718e-07.', 'Despite a pandemic hit, the global calcium chloride market is expected to reach \\$2.1 billion by 2027, driven by growth in de-icing, dust control, and drilling fluids applications. The positive score for this news is 5.0866209022615294e-08. The neutral score for this news is 0.999996542930603. The negative score for this news is 3.504328560666181e-06.', 'Despite the impact of the COVID-19 pandemic, the global extreme ultraviolet lithography (EUVL) market is expected to reach \\$18 billion by 2027, with a CAGR of 25.1%. The positive score for this news is 0.0006889987853355706. The neutral score for this news is 0.4996074438095093. The negative score for this news is 0.4997035264968872.', 'Despite the impact of the COVID-19 pandemic, the global transfection technologies market is expected to reach \\$1.2 billion by 2027, driven by growth in virus and protein production segments and key regions like the US and China. The positive score for this news is 4.056877145330873e-08. The neutral score for this news is 0.9999983310699463. The negative score for this news is 1.6512564116055728e-06.']"
2020-08-19,16.16337013244629,None,None,"['Despite the impact of the COVID-19 pandemic, the global market for Integrated Pest Management (IPM) pheromones is expected to reach \\$3.6 billion by 2027, growing at a CAGR of 4.6%. The positive score for this news is 5.219822469371138e-06. The neutral score for this news is 0.9993904829025269. The negative score for this news is 0.0006043043686076999.', 'Despite the impact of the COVID-19 pandemic, the global miticides market is expected to reach \\$1.6 billion by 2027, driven by growth in the dry and liquid segments and key markets like China and the US. The positive score for this news is 3.009877858062282e-08. The neutral score for this news is 0.9999977350234985. The negative score for this news is 2.2278081814874895e-06.', 'Despite the impact of the COVID-19 pandemic, the global aqua feed market is expected to reach \\$74.2 billion by 2027, driven by growth in fish, mollusks, and crustaceans segments. The positive score for this news is 1.6513661194039742e-07. The neutral score for this news is 0.9999756813049316. The negative score for this news is 2.4155968276318163e-05.', 'The global market for interposer and fan-out WLP is expected to reach \\$26.5 billion by 2027, with a CAGR of 23.1% from 2020 to 2027, driven by growth in the Through-Silicon Vias (TSVs) and Fan-Out Wafer-Level Packaging (FOWLP) segments. The positive score for this news is 5.2162864250249186e-08. The neutral score for this news is 0.9999953508377075. The negative score for this news is 4.692739821621217e-06.', ""Despite the pandemic's impact, the global linear actuators market is expected to reach \\$4.7 billion by 2027, with China and the US as key growth drivers. The positive score for this news is 3.2650234516040655e-07. The neutral score for this news is 0.9999427795410156. The negative score for this news is 5.6903012591646984e-05.""]"
2020-08-20,16.076210021972656,None,None,"['Despite the impact of the COVID-19 pandemic, the global spray drying equipment market is expected to reach \\$6.7 billion by 2027, with China and the U.S. leading the growth. The positive score for this news is 3.0423555585912254e-07. The neutral score for this news is 0.9999771118164062. The negative score for this news is 2.2513637304655276e-05.', 'Despite the impact of the COVID-19 pandemic, the global commercial aircraft wing market is expected to reach \\$57.3 billion by 2027, with China and the narrow-body segment leading the growth. The positive score for this news is 1.7227255000307196e-07. The neutral score for this news is 0.9999916553497314. The negative score for this news is 8.21910725790076e-06.', 'Despite the impact of the COVID-19 pandemic, the global froth flotation chemicals market is expected to reach \\$2.2 billion by 2027, with China and the US as the leading markets. The positive score for this news is 5.459532985696569e-05. The neutral score for this news is 0.9789576530456543. The negative score for this news is 0.02098766341805458.', 'A new report predicts the global functional flour market will reach \\$104.1 billion by 2027, driven by growth in pre-cooked, fortified, and specialty flours. The positive score for this news is 3.6297697647569294e-07. The neutral score for this news is 0.9999538660049438. The negative score for this news is 4.58122267446015e-05.', ""Despite the pandemic's impact, the global silicone surfactants market is expected to reach \\$226.3 million by 2027, with a 5.4% CAGR from 2020 to 2027, driven by growth in emulsifiers, foaming agents, and defoaming agents. The positive score for this news is 2.0874243489288347e-07. The neutral score for this news is 0.9999744892120361. The negative score for this news is 2.53228863584809e-05.""]"
2020-08-21,16.027786254882812,None,None,"[""Despite the pandemic's impact, the global industrial plugs and sockets market is expected to reach \\$4 billion by 2027, with China and the US as key players. The positive score for this news is 0.0004281385918147862. The neutral score for this news is 0.022462578490376472. The negative score for this news is 0.9771092534065247."", 'Despite the impact of the COVID-19 pandemic, the global hydrostatic transmission market is expected to reach \\$8.3 billion by 2027, driven by growth in various segments and regions. The positive score for this news is 4.706479472815772e-08. The neutral score for this news is 0.9999940395355225. The negative score for this news is 5.933099146204768e-06.', 'Despite the impact of the COVID-19 pandemic, the global market for high temperature gaskets is expected to reach \\$27.6 billion by 2027, with China and the US as the leading markets. The positive score for this news is 1.9478524336591363e-05. The neutral score for this news is 0.9921877384185791. The negative score for this news is 0.007792796473950148.', 'Despite the impact of the COVID-19 pandemic, the global sectionalizers market is expected to reach \\$1.4 billion by 2027, with China and the U.S. as the leading markets. The positive score for this news is 1.8617831301526166e-05. The neutral score for this news is 0.9947381615638733. The negative score for this news is 0.005243166349828243.', 'Despite pandemic disruptions, the global meat speciation testing market is projected to reach \\$2.8 billion by 2027, driven by increasing food safety concerns and a growing demand for transparency in the food supply chain. The positive score for this news is 0.6358955502510071. The neutral score for this news is 0.3485366702079773. The negative score for this news is 0.015567764639854431.']"
2020-08-24,16.318323135375977,None,None,"['Despite a pandemic hit, the global pneumatic conveying systems market is expected to reach \\$8.7 billion by 2027, with the US and China as the leading markets. The positive score for this news is 1.340456037723925e-05. The neutral score for this news is 0.998229444026947. The negative score for this news is 0.0017571182688698173.', 'Despite the COVID-19 pandemic, the global knowledge management market is expected to reach \\$1.1 trillion by 2027, with significant growth in the U.S. and China. The positive score for this news is 8.762828684893975e-08. The neutral score for this news is 0.9999943971633911. The negative score for this news is 5.519562364497688e-06.', 'Despite the impact of the COVID-19 pandemic, the global market for low voltage disconnect switches is expected to reach \\$4.2 billion by 2027, growing at a CAGR of 4.2%. The positive score for this news is 1.1814427125500515e-05. The neutral score for this news is 0.9981309771537781. The negative score for this news is 0.0018573025008663535.']"
2020-08-25,16.453903198242188,None,None,"[""Despite the pandemic's impact, the global natural fatty acids market is expected to reach \\$17.9 billion by 2027, driven by growth in various segments and regions, particularly China and the U.S. The positive score for this news is 3.349289912080167e-08. The neutral score for this news is 0.999993085861206. The negative score for this news is 6.972941264393739e-06."", 'Despite pandemic impacts, the global ID card printers market is expected to reach \\$5.6 billion by 2027, with China and the US as key growth drivers. The positive score for this news is 2.271796546438054e-07. The neutral score for this news is 0.9999368190765381. The negative score for this news is 6.298071093624458e-05.', ""Despite the pandemic's impact, the global wireless keyboard market is expected to reach \\$1.4 billion by 2027, driven by growth in residential and commercial sectors, with China and the U.S. leading the way. The positive score for this news is 1.307544650330783e-08. The neutral score for this news is 0.9999990463256836. The negative score for this news is 9.544021395413438e-07.""]"
2020-08-26,16.628223419189453,None,None,"['Despite the impact of the COVID-19 pandemic, the global botulinum toxin market is expected to reach \\$7.4 billion by 2027, driven by growth in both therapeutic and aesthetic applications. The positive score for this news is 7.636281651457466e-08. The neutral score for this news is 0.9999978542327881. The negative score for this news is 1.9986025563412113e-06.', 'Despite the impact of the COVID-19 pandemic, the global drip irrigation market is expected to reach \\$9.2 billion by 2027, with the US and China as the leading markets. The positive score for this news is 2.0215398762957193e-05. The neutral score for this news is 0.9859517812728882. The negative score for this news is 0.01402803510427475.', 'Despite a pandemic hit, the global AR in education market is expected to reach \\$41.8 billion by 2027, with a CAGR of 77.2%. The positive score for this news is 0.000557342660613358. The neutral score for this news is 0.0435713492333889. The negative score for this news is 0.9558712840080261.']"
2020-08-27,16.61854362487793,None,None,"['A report predicts the global irrigation controllers market to reach \\$2.1 billion by 2027, with a CAGR of 16.4%, driven by growth in weather-based and sensor-based segments. The positive score for this news is 6.367920235561542e-08. The neutral score for this news is 0.9999891519546509. The negative score for this news is 1.0695905075408518e-05.', 'Despite the impact of the COVID-19 pandemic, the global aircraft fairings market is expected to reach \\$2.4 billion by 2027, with China and the composite segment leading the growth. The positive score for this news is 2.3198866472284863e-07. The neutral score for this news is 0.9999920129776001. The negative score for this news is 7.713315426371992e-06.', 'Despite a pandemic hit, the global seismic survey market is expected to reach \\$10.4 billion by 2027, driven by a 4% CAGR and growth in data acquisition and processing segments. The positive score for this news is 1.7291862164370286e-08. The neutral score for this news is 0.9999979734420776. The negative score for this news is 1.971411393242306e-06.', ""Despite the pandemic's impact, the global mobile food services market is expected to reach \\$5.7 billion by 2027, driven by a growing preference for convenient and diverse food options. The positive score for this news is 7.165960141719552e-06. The neutral score for this news is 0.9997273087501526. The negative score for this news is 0.00026554163196124136.""]"
2020-08-28,16.783178329467773,None,None,"['Despite the impact of the COVID-19 pandemic, the global safety switches market is expected to reach \\$1.5 billion by 2027, with China and the U.S. leading the growth. The positive score for this news is 4.769455586028926e-07. The neutral score for this news is 0.9999216794967651. The negative score for this news is 7.780863961670548e-05.', 'Despite the impact of the COVID-19 pandemic, the global market for water quality monitoring devices is expected to reach \\$4.3 billion by 2027, with China and the US as the leading markets. The positive score for this news is 3.0310564397950657e-05. The neutral score for this news is 0.9840631484985352. The negative score for this news is 0.015906520187854767.', ""Despite COVID-19's impact, the global aircraft pumps market is expected to reach \\$5.2 billion by 2027, with China and the US as key growth drivers. The positive score for this news is 2.3866408582762233e-07. The neutral score for this news is 0.9999467134475708. The negative score for this news is 5.309511470841244e-05."", 'Despite a pandemic-induced dip, the global aircraft propeller system market is expected to reach \\$375 million by 2027, with a 4.9% CAGR driven by growth in both military and civil sectors. The positive score for this news is 4.246080465009072e-08. The neutral score for this news is 0.9999974966049194. The negative score for this news is 2.477451971572009e-06.']"
2020-08-31,16.812231063842773,None,None,"['Despite the impact of the COVID-19 pandemic, the global acetone market is expected to reach 7.3 million tons by 2027, with China and the U.S. leading the growth. The positive score for this news is 3.110997397470783e-07. The neutral score for this news is 0.99994957447052. The negative score for this news is 5.0017526518786326e-05.', 'Despite COVID-19 impacts, the global sodium silicate market is expected to reach \\$11.4 billion by 2027, with China and the U.S. as key players. The positive score for this news is 0.00017647349159233272. The neutral score for this news is 0.0026825491804629564. The negative score for this news is 0.9971410036087036.', ""Despite the pandemic's impact, the global urea-formaldehyde market is expected to reach \\$11.5 billion by 2027, with China and the U.S. leading growth. The positive score for this news is 3.2922599757512216e-08. The neutral score for this news is 0.9999984502792358. The negative score for this news is 1.5216106703519472e-06."", ""Despite the pandemic's impact, the global protein hydrolysates market is expected to reach \\$4.8 billion by 2027, with a 7.4% CAGR driven by growth in milk and plant-based segments. The positive score for this news is 1.173228625361844e-07. The neutral score for this news is 0.9999710321426392. The negative score for this news is 2.8843303880421445e-05."", ""Despite the pandemic's impact, the global dicyclopentadiene (DCPD) market is expected to reach \\$745 million by 2027, driven by growth in unsaturated polyester resin and hydrocarbon resin segments, with China and the U.S. as key markets. The positive score for this news is 4.9759162124018985e-08. The neutral score for this news is 0.9999954700469971. The negative score for this news is 4.495760094869183e-06."", 'Despite COVID-19 impacts, the global paraformaldehyde market is expected to reach \\$843.9 million by 2027, driven by growth in agrochemicals and healthcare sectors, with China and the U.S. as key markets. The positive score for this news is 4.1494288893773046e-08. The neutral score for this news is 0.9999897480010986. The negative score for this news is 1.0270102393405978e-05.', 'Despite the impact of the COVID-19 pandemic, the global phosphoric acid market is expected to reach \\$15.4 billion by 2027, driven by growth in the fertilizer and animal feed segments. The positive score for this news is 3.869697806635486e-08. The neutral score for this news is 0.9999967813491821. The negative score for this news is 3.173058530592243e-06.', 'Despite the impact of the COVID-19 pandemic, the global calcium carbide market is expected to reach \\$21.6 billion by 2027, driven by growth in the chemical acetylene and reducing & dehydrating agents segments. The positive score for this news is 3.4416135719084195e-08. The neutral score for this news is 0.9999978542327881. The negative score for this news is 2.1162866232771194e-06.', 'Despite the impact of the COVID-19 pandemic, the global pregelatinized flour market is expected to reach \\$1.6 billion by 2027, driven by growth in the food and industrial sectors, particularly in the US and China. The positive score for this news is 8.84228157360667e-08. The neutral score for this news is 0.9999949932098389. The negative score for this news is 4.889359843218699e-06.', 'Despite the impact of the COVID-19 pandemic, the global industrial fat fraction market is expected to reach \\$11.9 billion by 2027, with the U.S. and China as the leading markets. The positive score for this news is 2.3172891815192997e-05. The neutral score for this news is 0.992419421672821. The negative score for this news is 0.007557384204119444.', ""Despite the pandemic's impact, the global chemical surface treatment market is expected to reach \\$17.5 billion by 2027, with cleaners and plating chemicals leading the growth. The positive score for this news is 5.141729957358621e-07. The neutral score for this news is 0.9999572038650513. The negative score for this news is 4.232877472531982e-05."", 'Despite the impact of the COVID-19 pandemic, the global monochloroacetic acid market is expected to reach \\$918.6 million by 2027, growing at a CAGR of 2.2% from 2020 to 2027. The positive score for this news is 1.894273009384051e-05. The neutral score for this news is 0.9973293542861938. The negative score for this news is 0.0026517771184444427.', 'Despite the impact of COVID-19, the global tropical fruit puree market is expected to reach \\$5 billion by 2027, growing at a CAGR of 4%. The positive score for this news is 1.7720585674396716e-05. The neutral score for this news is 0.9957043528556824. The negative score for this news is 0.004277990665286779.', 'A new report predicts significant growth for the global AR in education market, reaching \\$41.8 billion by 2027, with a CAGR of 77.2%. The positive score for this news is 1.220777789967542e-08. The neutral score for this news is 0.9999988079071045. The negative score for this news is 1.2050936675223056e-06.']"
